Neftel.all,GL261.CT2A.specific,GBM.HH.query,HH.neural.dif.short,HH.neural.dif.long
ATP1B2,,,Grip1,Matn3
AGT,,,Npas3,Thrsp
PLTP,,,Efna5,Ptprv
GPM6B,,,Pbx3,Tex19.2
F3,,,Thsd7a,Hebp2
RAB31,,,Sorbs2,Wipf1
PPAP2B,,,Pdzrn4,Nlrp4f
ANXA5,,,Ncam1,Fap
TSPAN7,,,Kif26b,Lyrm7
BCAN,,,Lin7a,Pdzd2
PLP1,,,Nol4,Gpsm3
GPR17,,,Meis2,Kcnip2
FIBIN,,,Dpysl3,Kiss1r
LHFPL3,,,Robo2,Adam12
OLIG1,,,Pak7,Gm10451
PSAT1,,,Gfra1,Fam135b
SCRG1,,,Tshz2,Foxl2
OMG,,,Meis2,A930004D18Rik
APOD,,,Tshz2,3830431G21Rik
SIRT2,,,Pde3a,Lrrc31
TNR,,,Aff3,Wfdc1
THY1,,,Fam124a,Cpne5
PHYHIPL,,,Tbc1d12,Myo1d
SOX2-OT,,,Kitl,Ankle1
NKAIN4,,,Celf2,Lhx2
LPPR1,,,Dab1,Gata2
PTPRZ1,,,2610203C20Rik,Hhipl1
VCAN,,,Fat3,Zbtb7c
DBI,,,Stox2,Mtap7d3
PMP2,,,Foxp2,Myo1g
CNP,,,NSG1,Npr1
TNS3,,,Ctnna2,Wnt3
LIMA1,,,Ank3,Cyp39a1
CA10,,,Myt1l,Prkg2
PCDHGC3,,,Xkr4,Rhox13
CNTN1,,,Srgap3,AC174082.1
SCD5,,,Akap6,Mef2c
P2RX7,,,Celf4,Gpr126
CADM2,,,Rbfox1,Gpr146
TTYH1,,,Chl1,1500015O10Rik
FGF12,,,Ptprd,Ism1
TMEM206,,,Nav3,Gnmt
NEU4,,,Fstl5,Gjb5
FXYD6,,,Ctnnd2,Dock5
RNF13,,,Scn3a,Pcdhb22
RTKN,,,Dclk1,Gatm
GPM6B,,,Hecw1,Tmc4
LMF1,,,Reln,Tgfb3
ALCAM,,,Dner,Arl5c
PGRMC1,,,Phactr1,Zhx2
HRASLS,,,Gabrb3,4933437F05Rik
BCAS1,,,Jakmip2,D16Ertd472e
RAB31,,,Stmn2,Mafb
PLLP,,,Nbea,Slc25a31
FABP5,,,Kif5c,Als2cl
NLGN3,,,Ppfia2,Chrna5
SERINC5,,,2610203C20Rik,Glb1l
EPB41L2,,,Erc2,Lgals3
GPR37L1,,,Sorcs3,Tmem154
DLL3,,,Edil3,Grik4
DLL1,,,Astn1,Ap1g2
SOX4,,,Snhg11,Rab36
TUBB3,,,Nkain2,Lrrc38
HES6,,,Fgf13,Tspan11
TAGLN3,,,Rbms3,2010002N04Rik
NEU4,,,Foxp2,Mamld1
MARCKSL1,,,Sh3kbp1,Tnfrsf22
CD24,,,Neto2,Batf3
STMN1,,,Rbms3,Susd1
TCF12,,,Ephb1,Dgki
BEX1,,,Mbd5,Nebl
OLIG1,,,Gab2,Anxa8
MAP2,,,Ptprd,Kcna3
FXYD6,,,Nkain2,Spata2L
PTPRS,,,Rbfox1,Bcl6b
MLLT11,,,Phactr1,Afp
NPPA,,,Fam19a1,Pcnxl2
BCAN,,,Nav3,Gstt3
MEST,,,Ctnna2,Fhl3
ASCL1,,,Erc2,Thbs2
BTG2,,,Negr1,Megf10
DCX,,,Ntm,Park2
NXPH1,,,Snhg11,Lfng
HN1,,,Fam19a2,Accn4
PFN2,,,Xkr4,Megf11
SCG3,,,Pcsk2,Slc45a3
MYT1,,,Grm3,Oscp1
