Neftel.all,GL261.CT2A.specific,GBM.HH.query,HH.neural.dif.short,HH.neural.dif.long
,,,,Syt17
,,,,Sox9
,,,,Camk4
,,,,Slc41a2
,,,,Nfatc4
,,,,Gadd45b
,,,,Izumo4
,,,,Ano9
,,,,Mbd5
,,,,Lrrtm3
,,,,A4galt
,,,,Slc12a8
,,,,Cdc14b
,,,,Fam78b
,,,,Tmem132b
,,,,Mal2
,,,,Fat4
,,,,Mctp1
,,,,Ildr1
,,,,Mcf2
,,,,Bmp7
,,,,Evc
,,,,Csrnp1
,,,,Cntnap5a
,,,,Glycam1
,,,,Slc8a3
,,,,Mical1
,,,,Kitl
,,,,Wdr31
,,,,Zfp316
,,,,Cgn
,,,,Cit
,,,,Tril
,,,,Creg2
,,,,Rnasel
,,,,Prodh
,,,,Adcy9
,,,,Psmb9
,,,,Hs3st3b1
,,,,Slc43a1
,,,,Rfx3
,,,,Rbl1
,,,,Rnf150
,,,,Galnt9
,,,,Dhtkd1
,,,,Lypd1
,,,,AF529169
,,,,Tram2
,,,,Tead3
,,,,Itprip
,,,,Cdk5rap2
,,,,9430038I01Rik
,,,,Ahcy
,,,,Fxyd3
,,,,Htr7
,,,,Rgs16
,,,,Gabpb2
,,,,Wnt4
,,,,Plekha2
,,,,Ptchd1
,,,,Kbtbd11
,,,,Kcnj3
,,,,Odz4
,,,,D6Mm5e
,,,,As3mt
,,,,Dusp5
,,,,Ltbp3
,,,,Brca2
,,,,Sema4f
,,,,Kctd7
,,,,Vwc2
,,,,Tmem194
,,,,Pqlc3
,,,,Smc1b
,,,,Fam13c
,,,,Sorbs2
,,,,Lats2
,,,,Ttc23
,,,,Chst11
,,,,Ust
,,,,Zfp612
,,,,Lum
,,,,Ldlrap1
,,,,Lrtm2
,,,,Grin3a
,,,,Plekhb1
,,,,Rbm11
,,,,Ttc39b
,,,,Lrig3
,,,,Dnase2a
,,,,F8a
,,,,Dgka
,,,,Aff2
,,,,B4galnt3
,,,,Pitpnm3
,,,,Cyp1b1
,,,,Stk17b
,,,,Lpar1
,,,,Galnt13
,,,,Crtc3
,,,,Cdc42ep1
,,,,Kcnb1
,,,,Slc27a2
,,,,Tmem132b
,,,,Fzd1
,,,,Suv39h2
,,,,Apobec1
,,,,Mid2
,,,,Kcnd3
,,,,Nptxr
,,,,Cdkl5
,,,,Gm11133
,,,,Ypel1
,,,,2610019F03Rik
,,,,Itpr3
,,,,Rai2
,,,,Neurod4
,,,,4833420G17Rik
,,,,Bmper
,,,,Ada
,,,,4833424O15Rik
,,,,Amy1
,,,,Tmem158
,,,,Kcnip4
,,,,Klhdc8b
,,,,Leprel1
,,,,Gpr22
,,,,Lingo2
,,,,Islr2
,,,,Cep110
,,,,Naprt1
,,,,Arhgef16
,,,,Gstm4
,,,,Neil3
,,,,Sft2d2
,,,,Crb3
,,,,Sipa1
,,,,Fbn1
,,,,Lpar6
,,,,Fam120c
,,,,Gpr85
,,,,Frzb
,,,,Bean1
,,,,Rhpn2
,,,,Col4a5
,,,,Hpn
,,,,Fam184b
,,,,Asxl3
,,,,Tbx3
,,,,Shroom3
,,,,Spice1
,,,,Tmem20
,,,,Kctd1
,,,,Pik3c2b
,,,,Lgi3
,,,,Gcnt2
,,,,Pde8b
,,,,Hkdc1
,,,,Ccdc88c
,,,,Hic1
,,,,Rasgef1a
,,,,Kcnn1
,,,,Meox1
,,,,Adora1
,,,,Nkain2
,,,,Ebf2
,,,,Tirap
,,,,Nrip1
,,,,1810012P15Rik
,,,,Igsf9b
,,,,Sox13
,,,,Fndc3c1
,,,,AL954377.1
,,,,Fam63b
,,,,Srrm4
,,,,Pcdhb7
,,,,Ifi35
,,,,Akap5
,,,,Fam124a
,,,,C77370
,,,,Anks1b
,,,,Tcirg1
,,,,4930447C04Rik
,,,,9930013L23Rik
,,,,AC127693.1
,,,,Ghr
,,,,Arhgap8
,,,,Lrrc1
,,,,Fgd5
,,,,Ildr2
,,,,Reps2
,,,,Unc13b
,,,,Ednra
,,,,Rbms3
,,,,Rasgrf2
,,,,Prdm13
,,,,Zfp672
,,,,Antxr2
,,,,Wbscr17
,,,,Pak7
,,,,AI428936
,,,,Scai
,,,,Plcl1
,,,,Hdhd3
,,,,Camk1d
,,,,Galm
,,,,Macrod1
,,,,Pcdh19
,,,,Aph1b
,,,,Ppapdc2
,,,,Pex5l
,,,,Hpdl
,,,,Apcdd1
,,,,Zfp711
,,,,Pcdhb17
,,,,Nfkb2
,,,,Cenpi
,,,,Npepl1
,,,,Otud7a
,,,,Kcns3
,,,,Limch1
,,,,Myo1h
,,,,Zkscan2
,,,,Fam54a
,,,,Cntnap4
,,,,Pld5
,,,,Adck2
,,,,Fry
,,,,Zfp827
,,,,Paqr9
,,,,Zyg11a
,,,,Elf1
,,,,Gyltl1b
,,,,Rinl
,,,,Ppm1m
,,,,Fgf5
,,,,Iqgap3
,,,,Esrp1
,,,,Slc7a8
,,,,Snai2
,,,,Metrnl
,,,,Ccdc102a
,,,,Prrg4
,,,,Foxa2
,,,,Myo1e
,,,,Itpr1
,,,,4-Mar
,,,,Mdfi
,,,,Depdc1a
,,,,Tinagl1
,,,,Tbx2
,,,,Got1l1
,,,,AI646023
,,,,Parp9
,,,,Ebf4
,,,,Mfhas1
,,,,B4galnt2
,,,,Nlgn3
,,,,Athl1
,,,,Peg12
,,,,Zfp9
,,,,Smoc2
,,,,Tgfbr3
,,,,Ska1
,,,,Zfp473
,,,,Gsg2
,,,,Rasd2
,,,,Ces5a
,,,,Hdac9
,,,,Fmn2
,,,,Zc3hav1
,,,,Six4
,,,,5730590G19Rik
,,,,Myof
,,,,Clic6
,,,,Cenpl
,,,,Arhgap24
,,,,Rhobtb1
,,,,Pcbd1
,,,,Irf2
,,,,Irs1
,,,,C1ql2
,,,,Thbs1
,,,,Cdkn3
,,,,Nr6a1
,,,,Pde4b
,,,,Kirrel2
,,,,Spats2l
,,,,Plxdc1
,,,,Tcp11l1
,,,,Osr1
,,,,Wdr90
,,,,Sh2b2
,,,,Wdr62
,,,,Trib1
,,,,Nr5a2
,,,,Exoc3l
,,,,Rgnef
,,,,Grem2
,,,,Pcdhb11
,,,,Atad5
,,,,Sntg1
,,,,Folr1
,,,,Fads3
,,,,Ppap2c
,,,,Dagla
,,,,Slc26a2
,,,,Zfp600
,,,,Ptpn13
,,,,Erbb2
,,,,Fmnl3
,,,,Ppm1k
,,,,Aqp11
,,,,Iqgap2
,,,,Abhd3
,,,,1-Mar
,,,,Ddx4
,,,,Dgkb
,,,,Tmem132e
,,,,Pnldc1
,,,,Phf15
,,,,Prorsd1
,,,,Lif
,,,,Asb1
,,,,Shc3
,,,,Anxa1
,,,,Magel2
,,,,Btbd11
,,,,Klhl35
,,,,Chrm3
,,,,Tnfrsf19
,,,,Naa16
,,,,Adra2a
,,,,Igfbp7
,,,,Sncaip
,,,,B3gat2
,,,,Irx2
,,,,Serinc2
,,,,Zfp46
,,,,Scube2
,,,,Cacnb4
,,,,Vldlr
,,,,Fam189a1
,,,,Arhgap28
,,,,Vav3
,,,,Kctd8
,,,,Ablim1
,,,,Cxcr4
,,,,Epm2a
,,,,Btbd17
,,,,Aldh1a2
,,,,Shisa3
,,,,Galnt14
,,,,Rdh10
,,,,Psmb8
,,,,Opcml
,,,,Pou2f2
,,,,Prickle2
,,,,Unc5c
,,,,Pif1
,,,,Tmem88
,,,,Fam185a
,,,,Grid1
,,,,4930522L14Rik
,,,,Hivep2
,,,,Tnc
,,,,Pacsin3
,,,,Hsd3b7
,,,,Rbl2
,,,,Bspry
,,,,Pcdhb2
,,,,Cbs
,,,,Bbs1
,,,,Mtus2
,,,,Dusp28
,,,,Palld
,,,,Gm14139
,,,,Tex14
,,,,Mtap7
,,,,Depdc1b
,,,,Cacng3
,,,,Fam189a2
,,,,Spata13
,,,,Cabp7
,,,,Mgst2
,,,,Rnf219
,,,,E130306D19Rik
,,,,Raet1d
,,,,Klf11
,,,,Fhdc1
,,,,1700019D03Rik
,,,,Col6a3
,,,,9030418K01Rik
,,,,Pla2g10
,,,,Ttc39c
,,,,Slc25a24
,,,,10-Sep
,,,,Map4k1
,,,,Morc4
,,,,Prrt3
,,,,Ankrd34a
,,,,Uaca
,,,,Adra1b
,,,,Pitx1
,,,,Steap1
,,,,Opn3
,,,,Actn3
,,,,Trim36
,,,,Fut9
,,,,Il1r1
,,,,Ppp1r14c
,,,,Ppp2r3a
,,,,Sh3bp2
,,,,Tmem178
,,,,Bcar3
,,,,Gm13308
,,,,D10Bwg1379e
,,,,Lmo1
,,,,Unc5d
,,,,Bcl9l
,,,,Slc2a13
,,,,Nxf7
,,,,Gm5595
,,,,Peli3
,,,,Srrm3
,,,,Prox1
,,,,Syce1
,,,,4930427A07Rik
,,,,Anpep
,,,,Fam59b
,,,,Kcnma1
,,,,Pde4d
,,,,Ak5
,,,,Rbp7
,,,,Gramd1b
,,,,Glipr1
,,,,D930028M14Rik
,,,,Fgf10
,,,,D430041D05Rik
,,,,Gm14406
,,,,Bicd1
,,,,Rpp40
,,,,Tyk2
,,,,Gpc5
,,,,Zim1
,,,,Sstr1
,,,,Sema5b
,,,,Grik2
,,,,Kremen1
,,,,Plvap
,,,,Slitrk4
,,,,Cbfa2t3
,,,,Rab9b
,,,,Zfp819
,,,,Ppapdc3
,,,,Hoxd8
,,,,Cdh4
,,,,Nuak1
,,,,Setbp1
,,,,Phactr2
,,,,Hecw1
,,,,Foxd3
,,,,Cdk19
,,,,Trim62
,,,,Baz1a
,,,,Chrnb4
,,,,Kif26b
,,,,Fgf15
,,,,Tlcd1
,,,,Lck
,,,,Khdrbs2
,,,,Bard1
,,,,Senp7
,,,,Slco3a1
,,,,Hspb8
,,,,Slc24a4
,,,,Sos2
,,,,Ccdc8
,,,,Ccdc114
,,,,Pask
,,,,6430704M03Rik
,,,,Grip2
,,,,Tceal1
,,,,Nhedc1
,,,,Kcna6
,,,,Gls2
,,,,Ncapg2
,,,,Sertad4
,,,,Nlgn1
,,,,Gm1564
,,,,Grip1
,,,,Arpp21
,,,,Lama4
,,,,Ccnjl
,,,,Calml4
,,,,Notch3
,,,,Map3k1
,,,,Il33
,,,,Pou4f2
,,,,Rims1
,,,,Wdr89
,,,,Car11
,,,,Nedd1
,,,,Arg2
,,,,Arc
,,,,4930583H14Rik
,,,,Atr
,,,,Stxbp6
,,,,Arl4d
,,,,Tshz3
,,,,Efna5
,,,,Slc1a6
,,,,Lrdd
,,,,Mfng
,,,,Ntrk3
,,,,Sntb2
,,,,Rgag4
,,,,Dbp
,,,,Ctsc
,,,,Tmem170b
,,,,Slc4a8
,,,,Irgm1
,,,,Eea1
,,,,Pcnt
,,,,Lrrc3b
,,,,Fam102b
,,,,Myrip
,,,,Nrk
,,,,Spon2
,,,,Ldb2
,,,,Rassf4
,,,,CU041236.2
,,,,Ybx2
,,,,Poc1b
,,,,Slc12a4
,,,,Chmp4c
,,,,Lrfn3
,,,,Insm1
,,,,Bhlhe22
,,,,Smad7
,,,,Dazl
,,,,Gbp1
,,,,Dcaf12l1
,,,,Gm14412
,,,,Dnajb14
,,,,Casc5
,,,,Capsl
,,,,Rab11fip2
,,,,Plxnc1
,,,,Unc5a
,,,,Rbms2
,,,,Grm4
,,,,Akr1b8
,,,,Triobp
,,,,Syt16
,,,,Tmem62
,,,,Fam174b
,,,,Gm10330
,,,,Plxna4
,,,,Rfx2
,,,,Ankrd12
,,,,Hs3st2
,,,,Ank3
,,,,Astn2
,,,,Slc35f3
,,,,Celf2
,,,,Fhl2
,,,,Dact2
,,,,Mtr
,,,,Map3k9
,,,,Ptpro
,,,,Abcb1b
,,,,Aif1l
,,,,Rock1
,,,,Dusp26
,,,,Dok6
,,,,Fgf9
,,,,Chst2
,,,,Mxd3
,,,,Phospho1
,,,,Pms1
,,,,3110052M02Rik
,,,,Rad18
,,,,Mutyh
,,,,Ptger3
,,,,Olfr1344
,,,,Lzts1
,,,,Map3k13
,,,,Cdh3
,,,,Prdm14
,,,,Mgp
,,,,Nol4
,,,,Irx1
,,,,Zkscan16
,,,,Synpr
,,,,Heatr2
,,,,Arhgap26
,,,,Caln1
,,,,Tmem117
,,,,Tgfb1i1
,,,,Ddx11
,,,,Fam163b
,,,,1600014C10Rik
,,,,Dennd2c
,,,,C1qtnf4
,,,,Kcnk3
,,,,Mxd1
,,,,Fam116b
,,,,Efs
,,,,Itga5
,,,,Ica1l
,,,,Stk32c
,,,,Kndc1
,,,,Plcl2
,,,,Tmem151b
,,,,Ttr
,,,,Sema4d
,,,,Gabrg2
,,,,Pdgfrb
,,,,Nalcn
,,,,Mapk13
,,,,Slc17a9
,,,,Pde10a
,,,,Aspm
,,,,Bach2
,,,,Neto1
,,,,Cacna2d1
,,,,Ltbp1
,,,,Pkmyt1
,,,,Tcfcp2l1
,,,,Zbtb44
,,,,Ankrd24
,,,,Tlx3
,,,,Tmem169
,,,,Adamts1
,,,,2610109H07Rik
,,,,Ntng1
,,,,Ap1m2
,,,,Fah
,,,,Fam5b
,,,,4632434I11Rik
,,,,Recql4
,,,,Lgals9
,,,,Def6
,,,,Rnf152
,,,,Ptprt
,,,,Gas7
,,,,Prdm8
,,,,Ric3
,,,,Dennd5b
,,,,RP23-147O14.1
,,,,Ccdc28a
,,,,Dscc1
,,,,Ptpn6
,,,,Tmc6
,,,,Zkscan1
,,,,Rad51ap1
,,,,Dlk2
,,,,Osbpl6
,,,,Dhrs4
,,,,Spred3
,,,,E130309D14Rik
,,,,Slc25a27
,,,,Atp8a2
,,,,Rgs10
,,,,Ggta1
,,,,Kcna2
,,,,Tnfrsf10b
,,,,Clstn2
,,,,Orai3
,,,,Tor1aip2
,,,,Ptgis
,,,,Bzrap1
,,,,Bcl2l12
,,,,Ephb1
,,,,1190005I06Rik
,,,,Bend3
,,,,Tmem150c
,,,,Ppargc1a
,,,,Samd12
,,,,Nrarp
,,,,Zfp282
,,,,Ntn4
,,,,Tmeff2
,,,,Cacng2
,,,,Diap3
,,,,Lmx1b
,,,,Cdc42ep2
,,,,Garnl3
,,,,Chac2
,,,,Pcdh18
,,,,Ercc6l
,,,,Ppfibp1
,,,,Abcb9
,,,,Aff3
,,,,Tead1
,,,,Nrxn3
,,,,Fam18a
,,,,Inha
,,,,Tdrd7
,,,,Haus6
,,,,9330182L06Rik
,,,,Npr2
,,,,Zfp521
,,,,Parp12
,,,,Hormad1
,,,,St3gal1
,,,,Plekhg2
,,,,Zc3hav1l
,,,,Hps1
,,,,Tcfap2c
,,,,Ephx2
,,,,Gab2
,,,,Tmem176a
,,,,Rad54b
,,,,Cck
,,,,Cenpk
,,,,Tbc1d30
,,,,C230052I12Rik
,,,,Plekha6
,,,,Bnc2
,,,,Lrrc2
,,,,Iqcg
,,,,Slit2
,,,,Sox17
,,,,Zfp459
,,,,2810030E01Rik
,,,,Rnase4
,,,,Bsn
,,,,Mlf1ip
,,,,Rims4
,,,,H2-Gs10
,,,,Zranb3
,,,,Ccdc61
,,,,Efna4
,,,,Nphs1
,,,,2310008H04Rik
,,,,Gca
,,,,C2cd2l
,,,,Pcdh8
,,,,Slco5a1
,,,,Anxa4
,,,,Plcxd3
,,,,Gsg1l
,,,,B3gnt5
,,,,Rnf112
,,,,Atp2b4
,,,,Gm7120
,,,,Grm7
,,,,Pak6
,,,,Sgpp1
,,,,Magi2
,,,,Slc28a1
,,,,Mns1
,,,,Fam86
,,,,Traip
,,,,Cklf
,,,,Cd248
,,,,Letm2
,,,,S100a1
,,,,Wnt1
,,,,Elfn2
,,,,Zfp579
,,,,Gm9996
,,,,BC030867
,,,,Ccdc77
,,,,Snai1
,,,,Nrgn
,,,,Mbnl1
,,,,Orai2
,,,,Nptx1
,,,,Tspan12
,,,,Hes5
,,,,Lysmd1
,,,,Glra3
,,,,Cacng8
,,,,B3galt1
,,,,Ankrd29
,,,,Nfib
,,,,Eda2r
,,,,Dock1
,,,,Mmp11
,,,,Cd97
,,,,Hoxc8
,,,,Dnahc8
,,,,Slc35e4
,,,,Cecr2
,,,,Tcf19
,,,,Ddr2
,,,,Glt1d1
,,,,Gli3
,,,,Vwa5b2
,,,,Pclo
,,,,Ccnb1ip1
,,,,1700007K13Rik
,,,,Ankrd37
,,,,6330403A02Rik
,,,,Eme2
,,,,Tcf7l2
,,,,Cdc25c
,,,,Xkr4
,,,,Miip
,,,,Slc25a40
,,,,Gm10576
,,,,Ccl25
,,,,Mov10l1
,,,,Ngef
,,,,Cbx4
,,,,Capn5
,,,,Cercam
,,,,Abcd4
,,,,Prr11
,,,,Adcy5
,,,,Whrn
,,,,Eng
,,,,Notch1
,,,,Tgfbr2
,,,,Nkd1
,,,,Nsl1
,,,,Pxmp2
,,,,Fam123c
,,,,Zmat4
,,,,Exo1
,,,,Cdh6
,,,,Cpne3
,,,,Chst14
,,,,Pi4k2b
,,,,Fbn2
,,,,Gm15800
,,,,Arhgef40
,,,,Hs6st3
,,,,Palm3
,,,,Adcy8
,,,,Aldh1l1
,,,,Kif18a
,,,,Kcnc2
,,,,Fam126b
,,,,Kank3
,,,,Pitx2
,,,,Arhgap17
,,,,Cxxc4
,,,,Gm11127
,,,,Slc25a30
,,,,Cd68
,,,,Plagl2
,,,,Nxph1
,,,,Dstyk
,,,,Cxx1c
,,,,Mapkapk3
,,,,Lrrc4c
,,,,Ppm1j
,,,,Atp5s
,,,,Sh3bgrl2
,,,,Ephb6
,,,,Atl1
,,,,Zfp518a
,,,,1300018J18Rik
,,,,Xkr5
,,,,Gm996
,,,,Tpm2
,,,,Syt9
,,,,1700001L05Rik
,,,,Gfra2
,,,,Tmem170
,,,,Pcdh1
,,,,Pygo1
,,,,Irx3
,,,,Plekha7
,,,,Cbln2
,,,,Phyhip
,,,,Sykb
,,,,Parp8
,,,,Deptor
,,,,Plcd1
,,,,Rnf103
,,,,Elovl2
,,,,Tox
,,,,Ly75
,,,,BC027231
,,,,St8sia4
,,,,Jak2
,,,,Tpbg
,,,,Slc35f4
,,,,Casp6
,,,,Nrip3
,,,,Kcnmb4
,,,,Fam126a
,,,,Ctsh
,,,,Klhl17
,,,,Zfp365
,,,,Ajap1
,,,,AC087117.1
,,,,Trpc3
,,,,Ltbr
,,,,Bcl3
,,,,Cdc42bpg
,,,,Arhgef10l
,,,,Gpr158
,,,,Phactr4
,,,,Nfatc2ip
,,,,Dkk3
,,,,Eml3
,,,,Troap
,,,,Hpcal4
,,,,A930005H10Rik
,,,,Tmem44
,,,,Csrnp3
,,,,RP23-467K15.1
,,,,Nudt10
,,,,Nat14
,,,,2510009E07Rik
,,,,2610039C10Rik
,,,,Arhgap20
,,,,Sema7a
,,,,Spnb1
,,,,Abcc1
,,,,Rassf5
,,,,Acyp2
,,,,Chst1
,,,,Pnma2
,,,,Grik3
,,,,Calb2
,,,,Rtn4r
,,,,Sox21
,,,,Gpc6
,,,,Tmem51
,,,,Fbxl2
,,,,Dhfr
,,,,Zfhx2
,,,,Marveld1
,,,,Slc45a1
,,,,2610008E11Rik
,,,,Smad3
,,,,Darc
,,,,Rapgefl1
,,,,Clspn
,,,,Lsp1
,,,,Zfr2
,,,,Nupr1
,,,,Poc1a
,,,,Bai3
,,,,Siah1b
,,,,Vcan
,,,,Mapk12
,,,,Trib3
,,,,Perp
,,,,Rhov
,,,,Cth
,,,,Olfml3
,,,,Lrrc4
,,,,Plekhm2
,,,,Pmaip1
,,,,Depdc7
,,,,1110032A03Rik
,,,,Syngap1
,,,,Megf9
,,,,Snx21
,,,,Nes
,,,,Tram1l1
,,,,Pou3f1
,,,,St7
,,,,Zfp651
,,,,Tnfrsf1a
,,,,Pgap1
,,,,Accn1
,,,,2610203C20Rik
,,,,Slc30a3
,,,,Gjb3
,,,,Swap70
,,,,Ccnyl1
,,,,Camk2n1
,,,,Mrc2
,,,,Crtc1
,,,,Gmfg
,,,,Rps6kl1
,,,,Ppp1r3f
,,,,Rgs17
,,,,Ascl1
,,,,Shisa7
,,,,Pla2g7
,,,,Pnoc
,,,,Abcg4
,,,,Unc80
,,,,Pou3f4
,,,,Slc1a2
,,,,Sirt1
,,,,Dlg2
,,,,L3mbtl3
,,,,Mms22l
,,,,Sv2b
,,,,Acot1
,,,,Ntn1
,,,,Pcp4l1
,,,,Tmem25
,,,,Dlgap1
,,,,Cyth1
,,,,Fam122b
,,,,Dio3
,,,,Ephb4
,,,,Fam117a
,,,,Fam83d
,,,,Tmem8b
,,,,Mdm1
,,,,Rnf165
,,,,Mdga1
,,,,Pole
,,,,Slit1
,,,,1700025G04Rik
,,,,Bend5
,,,,Rhbdf2
,,,,Flrt2
,,,,Gpr161
,,,,Limd1
,,,,Hpca
,,,,Syt7
,,,,Plk4
,,,,Cacna2d3
,,,,Gm13139
,,,,Slc9a7
,,,,Fndc5
,,,,Egln3
,,,,Cacna1b
,,,,Rhbdl3
,,,,Phlpp2
,,,,Flt1
,,,,Lhfpl3
,,,,Bin2
,,,,Cabp1
,,,,Diras2
,,,,Clip1
,,,,Rpp25
,,,,E130309F12Rik
,,,,Net1
,,,,Rassf3
,,,,Tanc1
,,,,Ostf1
,,,,Zfp618
,,,,Nf1
,,,,Grhl2
,,,,Cyct
,,,,Spnb4
,,,,Phldb2
,,,,Gusb
,,,,Calca
,,,,Nthl1
,,,,Nudt18
,,,,Zhx1
,,,,Fndc1
,,,,Zeb2
,,,,Urb1
,,,,Ldlrad3
,,,,Tmem198
,,,,Agpat2
,,,,Gpx7
,,,,Ypel2
,,,,Matk
,,,,Gm10130
,,,,Tst
,,,,Elf3
,,,,Fgfbp1
,,,,Adam17
,,,,Slitrk5
,,,,Tmco3
,,,,Sema3a
,,,,Mtmr12
,,,,Shank3
,,,,Dab1
,,,,Frmd4b
,,,,Crebl2
,,,,Fanca
,,,,Acvr2b
,,,,Lrch4
,,,,Rffl
,,,,Fzd3
,,,,Apool
,,,,Msx1
,,,,Rhof
,,,,Grm5
,,,,Tcta
,,,,Fam49a
,,,,Fam38a
,,,,Sgol1
,,,,Vax2
,,,,E2f8
,,,,Agtrap
,,,,Slc2a6
,,,,Kcnc3
,,,,Lin7a
,,,,Nrg3
,,,,Odz2
,,,,Tpd52l1
,,,,Fam20c
,,,,Cdca2
,,,,Glra2
,,,,Qpct
,,,,Ttll4
,,,,Cubn
,,,,Camk1g
,,,,Pdgfa
,,,,Elovl1
,,,,Zfp319
,,,,Zfp36
,,,,Pitpnm2
,,,,Haus5
,,,,Kcnq3
,,,,Tspan2
,,,,Gucy1b3
,,,,Celsr3
,,,,Kcna1
,,,,Copz2
,,,,Ufsp1
,,,,Pxn
,,,,Stradb
,,,,Spint1
,,,,Nynrin
,,,,Pramef12
,,,,Nell1
,,,,Srsf12
,,,,Mpv17l
,,,,Cpeb1
,,,,B3gnt2
,,,,Gm10645
,,,,Scn3a
,,,,Kntc1
,,,,8430427H17Rik
,,,,Hsf2bp
,,,,Fam195a
,,,,Lgals8
,,,,Zcwpw1
,,,,Cacna1a
,,,,Mpped2
,,,,Ehd3
,,,,Frmd8
,,,,Eid2b
,,,,Wwtr1
,,,,Celf6
,,,,Gata6
,,,,Ttbk1
,,,,Dtna
,,,,Creb3l1
,,,,Slc4a3
,,,,Hipk2
,,,,Zfhx3
,,,,Mael
,,,,Obfc2a
,,,,Cdkl2
,,,,Pgbd5
,,,,Sfxn5
,,,,Pkdcc
,,,,Smtn
,,,,Prkd3
,,,,Wnk2
,,,,Sarm1
,,,,Chrna3
,,,,Zfp229
,,,,Jakmip1
,,,,Mab21l1
,,,,Cib2
,,,,Cdyl
,,,,D2Ertd750e
,,,,Zfp354c
,,,,Akap6
,,,,Pnmal1
,,,,Dact1
,,,,2610002D18Rik
,,,,Stxbp5
,,,,B930041F14Rik
,,,,Dolk
,,,,Reep6
,,,,Acsf2
,,,,Gli2
,,,,Gabra2
,,,,Chek1
,,,,Fgfr2
,,,,Usp20
,,,,Dok5
,,,,Serpinb1b
,,,,Cenpe
,,,,Mvp
,,,,A730011L01Rik
,,,,Mypop
,,,,Cbln4
,,,,Lhfp
,,,,Hsd17b11
,,,,Pcyt1b
,,,,Slitrk1
,,,,Wdr76
,,,,Gbp2
,,,,Pcdh11x
,,,,1190003J15Rik
,,,,Tmem176b
,,,,Zfp503
,,,,Syt13
,,,,Kirrel3
,,,,Plxna3
,,,,Amigo1
,,,,Cpeb3
,,,,Cnrip1
,,,,Efna2
,,,,Rab3b
,,,,Rfx4
,,,,6720463M24Rik
,,,,Gabra1
,,,,Zfp936
,,,,Qser1
,,,,Zfp217
,,,,Abca5
,,,,Slc1a1
,,,,Rasgrf1
,,,,Celsr2
,,,,Fam111a
,,,,Mtbp
,,,,AU040320
,,,,Dpp10
,,,,Tspan8
,,,,Kcnip1
,,,,Nradd
,,,,Cuedc1
,,,,Ret
,,,,Trip6
,,,,Zfp768
,,,,Hs3st5
,,,,Dnd1
,,,,Ptpn9
,,,,Mgmt
,,,,Trim71
,,,,Lama5
,,,,Itga3
,,,,Syt5
,,,,Zic5
,,,,Npnt
,,,,Syn3
,,,,2610036A22Rik
,,,,Six1
,,,,Slc6a9
,,,,Hist1h1c
,,,,Tanc2
,,,,Sox3
,,,,Parvb
,,,,N4bp2l1
,,,,Ccdc99
,,,,Igf1r
,,,,Adarb1
,,,,Gdf11
,,,,Pknox2
,,,,Amot
,,,,Itgb5
,,,,Ssbp2
,,,,Alkbh2
,,,,1110003O08Rik
,,,,Chd1l
,,,,Fam131b
,,,,Phf1
,,,,Sema5a
,,,,6230409E13Rik
,,,,Mfsd6
,,,,Pan2
,,,,Slc6a1
,,,,Aim2
,,,,Magt1
,,,,Cenpw
,,,,Nr1d2
,,,,Rbfox3
,,,,AC156630.1
,,,,Pou6f1
,,,,Cyr61
,,,,Ttc9
,,,,Helb
,,,,St8sia3
,,,,Myt1l
,,,,Paqr4
,,,,St6gal1
,,,,Ccdc106
,,,,Brca1
,,,,Gstm2
,,,,Ndrg2
,,,,Slmo1
,,,,Kcnc4
,,,,Hoxa1
,,,,Nefm
,,,,Tmtc1
,,,,Pogk
,,,,Afap1
,,,,Stk32b
,,,,Tagln
,,,,Cxcr7
,,,,Arhgap36
,,,,Kif15
,,,,S1pr2
,,,,Creb3l2
,,,,Chd7
,,,,Psd2
,,,,C85492
,,,,Mpp3
,,,,Urgcp
,,,,Cbln1
,,,,Nav1
,,,,Cdca7l
,,,,Fbxo41
,,,,Srr
,,,,Fancd2
,,,,Ccdc85a
,,,,Mcam
,,,,Hsd11b2
,,,,Nhlh1
,,,,Eme1
,,,,Cbx2
,,,,Gm88
,,,,Zfp808
,,,,C79407
,,,,Neurog1
,,,,Cnnm1
,,,,Them4
,,,,Tom1l1
,,,,Llgl2
,,,,Vps37d
,,,,Nrm
,,,,Trim9
,,,,Atp2b3
,,,,Mras
,,,,Stambp
,,,,Pax8
,,,,Samhd1
,,,,Sox15
,,,,Zfp568
,,,,Pvalb
,,,,Mpeg1
,,,,Gpsm2
,,,,Cnr1
,,,,Ptpn2
,,,,AC020968.2
,,,,Kif4
,,,,Ttll7
,,,,Magi3
,,,,Fgf11
,,,,Shank1
,,,,Ier3
,,,,Sohlh2
,,,,Pecam1
,,,,BC029214
,,,,Manba
,,,,Snap23
,,,,Bace1
,,,,Dscam
,,,,Shkbp1
,,,,Cntnap2
,,,,Sufu
,,,,Lcor
,,,,Prom1
,,,,Ppfia2
,,,,Nr4a1
,,,,Tox2
,,,,Cenpn
,,,,Flrt3
,,,,Dchs1
,,,,Rod1
,,,,Dlc1
,,,,Erf
,,,,Frrs1
,,,,Rem2
,,,,Gstt2
,,,,Mmp15
,,,,Nfil3
,,,,Dnajc18
,,,,Zfp110
,,,,Hoxa4
,,,,Ccdc80
,,,,Slc39a3
,,,,Gm672
,,,,Dgkk
,,,,Rnf24
,,,,Pgap1
